"id";"sex";"affiliated";"time_secs"
7085;"m";1;1206.5
2811;"f";1;1206.7
7375;"m";0;1206.8
4220;"m";1;1207.2
4699;"m";1;1207.3
2000;"m";0;1207.4
5221;"m";1;1207.6
3867;"m";1;1208.0
2567;"m";0;1208.3
8000;"m";0;1208.4
5189;"m";1;1208.7
3236;"m";1;1208.9
4722;"f";1;1208.9
8963;"m";1;1209.1
3502;"f";1;1209.5
4720;"m";1;1209.5
8689;"f";1;1209.8
2108;"m";1;1210.0
4700;"m";1;1210.1
2685;"f";1;1210.2
10161;"m";1;1210.3
3878;"m";1;1210.5
4321;"m";1;1210.5
4382;"m";1;1210.6
2586;"m";0;1211.3
2636;"f";1;1211.4
3091;"m";0;1211.7
3509;"m";0;1212.7
2036;"m";0;1213.8
4059;"m";1;1214.1
14905;"m";1;1214.6
3693;"m";1;1214.7
2724;"m";0;1214.7
4319;"m";1;1215.1
3328;"f";1;1215.2
3910;"m";1;1215.5
3508;"m";0;1215.6
3441;"m";1;1215.6
3303;"m";0;1215.7
4434;"m";1;1216.4
4917;"m";1;1216.5
3688;"m";1;1216.5
2740;"m";0;1216.5
2661;"m";1;1217.2
3570;"m";0;1217.6
3422;"m";0;1218.1
3201;"m";0;1218.6
3023;"m";0;1218.8
2809;"m";0;1219.0
3106;"m";0;1219.1
9986;"m";1;1219.7
8300;"m";0;1219.8
4038;"m";1;1220.1
2249;"m";0;1220.2
2173;"m";1;1220.7
2729;"m";0;1220.7
9674;"m";1;1221.9
4716;"m";1;1222.0
2830;"m";0;1222.1
3269;"m";0;1222.3
7295;"m";1;1222.3
3171;"m";1;1222.8
2995;"m";0;1222.8
2664;"m";0;1222.9
4278;"m";1;1223.0
13480;"m";0;1223.3
3013;"m";0;1223.7
2840;"m";1;1223.8
5255;"m";0;1223.8
3192;"f";0;1224.0
19626;"m";1;1224.2
5273;"m";0;1224.2
2145;"m";1;1224.8
3450;"m";1;1225.6
9035;"m";0;1226.6
3751;"m";1;1226.7
2440;"m";0;1226.9
2236;"m";1;1227.0
7;"m";0;1227.2
5337;"m";1;1227.2
3277;"m";1;1227.2
3789;"m";0;1227.3
3305;"m";0;1227.6
8218;"m";1;1227.6
2744;"m";0;1228.1
11173;"m";1;1228.2
3913;"m";1;1228.4
3299;"f";0;1228.5
2878;"m";1;1228.8
5163;"m";1;1229.0
4362;"m";1;1229.1
2948;"f";1;1229.3
10732;"m";1;1229.7
2949;"m";0;1229.9
4916;"m";1;1230.1
4500;"m";1;1230.3
5364;"f";0;1230.8
2753;"m";1;1230.8
2667;"f";1;1230.8
3147;"m";1;1230.8
3431;"m";1;1231.2
9176;"m";1;1231.5
8077;"m";1;1231.6
19316;"m";0;1232.0
15249;"m";1;1232.3
3240;"f";0;1232.3
2752;"f";1;1232.7
10846;"m";1;1232.8
3047;"f";1;1233.2
5362;"m";0;1233.4
10019;"m";1;1233.8
12931;"m";1;1234.1
4630;"m";1;1234.3
2593;"m";0;1234.4
15048;"m";1;1234.6
4105;"f";0;1235.4
3271;"m";0;1235.5
3629;"m";1;1235.6
3167;"m";1;1235.8
3027;"m";1;1235.9
2077;"m";1;1236.2
10355;"m";1;1236.7
3046;"m";1;1237.0
3268;"m";1;1237.1
3226;"m";1;1237.1
3585;"m";0;1237.2
11093;"m";1;1237.2
4258;"m";1;1237.8
3911;"m";1;1237.8
4742;"m";1;1238.5
3152;"m";0;1238.9
3458;"m";0;1239.0
8089;"m";1;1239.0
5162;"m";1;1239.1
10164;"m";1;1239.3
12740;"m";0;1239.5
8211;"m";1;1239.8
10014;"m";1;1239.8
4000;"m";1;1240.0
3876;"m";1;1240.6
2669;"m";0;1241.1
4009;"m";1;1241.6
4214;"m";1;1241.6
10553;"m";1;1241.8
4231;"m";1;1241.9
9082;"m";1;1242.2
10071;"m";1;1243.4
4365;"m";1;1243.4
3695;"m";1;1243.4
4090;"m";0;1243.5
2875;"m";1;1243.5
2530;"m";0;1243.8
2928;"m";1;1244.1
19525;"m";1;1244.2
3374;"m";1;1244.5
4431;"m";1;1244.7
4260;"m";1;1244.7
5146;"f";1;1244.9
2055;"m";1;1245.1
7263;"m";1;1245.2
2091;"m";1;1245.3
4042;"m";1;1245.5
4261;"m";1;1245.6
3390;"m";0;1245.9
15469;"m";1;1245.9
3355;"m";1;1246.1
9669;"m";1;1246.1
5477;"m";1;1246.5
3158;"f";1;1246.9
15091;"m";1;1247.1
14203;"m";1;1247.4
2533;"m";0;1247.4
3504;"m";0;1247.6
14710;"m";1;1247.6
2192;"m";0;1248.2
3736;"m";1;1248.6
3231;"m";0;1248.8
4037;"f";1;1249.1
3578;"f";1;1249.5
3775;"m";0;1249.7
2910;"m";1;1249.9
2056;"m";0;1249.9
15286;"m";1;1250.0
3420;"m";0;1250.0
11313;"m";0;1250.0
2617;"m";0;1250.2
9940;"m";1;1250.5
15418;"m";1;1250.7
5153;"m";1;1250.7
4133;"m";1;1250.9
8539;"m";1;1251.1
3483;"m";1;1251.7
2954;"m";1;1251.9
2665;"m";0;1251.9
3477;"m";0;1252.2
14126;"m";1;1252.2
4656;"m";1;1252.3
4986;"f";1;1252.7
2652;"m";1;1252.7
2881;"m";0;1252.9
14092;"m";0;1252.9
4835;"m";1;1252.9
15738;"m";0;1253.2
3561;"m";1;1253.4
10845;"m";1;1253.9
2901;"m";0;1254.0
2207;"m";0;1254.0
3917;"m";1;1254.1
10879;"m";1;1254.2
4574;"m";1;1254.3
5290;"f";1;1254.8
18740;"m";1;1254.8
4972;"m";1;1255.7
4492;"f";1;1255.8
3241;"m";0;1255.9
14373;"m";1;1256.0
9214;"m";1;1256.1
9213;"m";1;1256.7
2946;"m";1;1257.1
